customerID;name;phone;street;city;country;website
120358;Cruickshank PLC;222-800-4431;Nicolas Lodge;New Deechester;Switzerland;http://www.Gusikowski.tv/
138803;Toy Group;418-188-4814;Consuelo Way;Gloverborough;Ecuador;http://Jakubowski.org/
194002;Lubowitz LLC;918-169-3521;Bartholome Spur;Mauricioburgh;San Marino;http://www.Ivah.info/
388640;Murazik LLC;706-772-4561;Weston Ridge;New Bertram;Comoros;http://www.Gordon.tv/
319492;Auer Inc;516-507-8520;Lind Cove;New Tevin;Guyana;http://www.Trantow.me/
370271;Murphy LLC;201-487-7589;Rogahn Trafficway;Yvonnemouth;Spain;http://www.Kilback.com/
348189;Mann LLC;365-029-5979;Gutmann Curve;North Mekhi;Yemen;http://www.Muhammad.net/
174937;Turner and Sons;974-617-0022;Swift Lights;Bernardostad;Madagascar;http://Reynolds.co.uk/
380067;Lynch LLC;699-747-4817;Jace Path;Mertiestad;Sudan;http://www.Wolf.biz/
128364;Rogahn PLC;836-990-9260;Tom Hills;Vivianhaven;Jersey;http://www.Vern.com/
