materialID;netValue;orderID;year;item
19054700369;439.85;06df3ba9-f570-4da6-b2a4-2d96c0eaa404;2018;10
51197254518;1499.62;06df3ba9-f570-4da6-b2a4-2d96c0eaa404;2018;20
52902942821;4736.32;06df3ba9-f570-4da6-b2a4-2d96c0eaa404;2018;30
33274885875;3897.41;06df3ba9-f570-4da6-b2a4-2d96c0eaa404;2018;40
70956280930;1124.77;06df3ba9-f570-4da6-b2a4-2d96c0eaa404;2018;50
38639604351;2295.51;d2be2c05-c407-4bbb-b265-5e04fa358c3c;2016;10
36609604070;1656.7;d2be2c05-c407-4bbb-b265-5e04fa358c3c;2016;20
80248601958;2709.92;d2be2c05-c407-4bbb-b265-5e04fa358c3c;2016;30
39776788144;1747.62;d2be2c05-c407-4bbb-b265-5e04fa358c3c;2016;40
15972386457;1505.18;d2be2c05-c407-4bbb-b265-5e04fa358c3c;2016;50
38639604351;1311.72;d2be2c05-c407-4bbb-b265-5e04fa358c3c;2016;60
15972386457;633.76;d2be2c05-c407-4bbb-b265-5e04fa358c3c;2016;70
55512522599;2575;d2be2c05-c407-4bbb-b265-5e04fa358c3c;2016;80
51197254518;2999.24;d2be2c05-c407-4bbb-b265-5e04fa358c3c;2016;90
78335839510;8037.19;ed760809-2bdf-4aa7-b949-7b321d8747ba;2019;10
39776788144;8738.1;ed760809-2bdf-4aa7-b949-7b321d8747ba;2019;20
39906521365;1298.57;ed760809-2bdf-4aa7-b949-7b321d8747ba;2019;30
51197254518;1499.62;ed760809-2bdf-4aa7-b949-7b321d8747ba;2019;40
37037154580;6226.3;a25eef00-a229-4bfe-8362-6e685e54e8a0;2017;10
51197254518;1499.62;a25eef00-a229-4bfe-8362-6e685e54e8a0;2017;20
15972386457;1267.52;a25eef00-a229-4bfe-8362-6e685e54e8a0;2017;30
58027726905;4600.79;a25eef00-a229-4bfe-8362-6e685e54e8a0;2017;40
37037154580;6226.3;a25eef00-a229-4bfe-8362-6e685e54e8a0;2017;50
87352686850;1931.98;a25eef00-a229-4bfe-8362-6e685e54e8a0;2017;60
30691964873;6858.15;a25eef00-a229-4bfe-8362-6e685e54e8a0;2017;70
13595658925;3526.64;a25eef00-a229-4bfe-8362-6e685e54e8a0;2017;80
39225093822;6575.09;a25eef00-a229-4bfe-8362-6e685e54e8a0;2017;90
15029937152;4888.52;a25eef00-a229-4bfe-8362-6e685e54e8a0;2017;100
63149307845;8882.52;f861056f-6f9e-43b9-a133-0348b29341c4;2017;10
12953196312;1272.62;f861056f-6f9e-43b9-a133-0348b29341c4;2017;20
15972386457;554.54;d72c4ef3-f535-4cc0-8d85-83333eb933b6;2017;10
37037154580;5603.67;d72c4ef3-f535-4cc0-8d85-83333eb933b6;2017;20
37663629774;4316.34;52dbda79-2591-4933-a19f-9d393be2753d;2017;10
31016228020;2923.95;52dbda79-2591-4933-a19f-9d393be2753d;2017;20
12953196312;334.9;52dbda79-2591-4933-a19f-9d393be2753d;2017;30
18355331596;5452.07;52dbda79-2591-4933-a19f-9d393be2753d;2017;40
16292753683;2133.9;394b7927-8ead-4135-85f6-c28f26c8dabf;2018;10
37037154580;4358.41;394b7927-8ead-4135-85f6-c28f26c8dabf;2018;20
87352686850;1931.98;394b7927-8ead-4135-85f6-c28f26c8dabf;2018;30
12953196312;267.92;394b7927-8ead-4135-85f6-c28f26c8dabf;2018;40
